"","time","FLOW","SALT","TEMP"
"303",1990-07-30,1.098693648,10,25.97581209
"304",1990-07-31,1.019406478,10,25.98407133
"305",1990-08-01,0.928792568,10,25.9895102
"306",1990-08-02,0.928792568,10,25.98008372
"307",1990-08-03,1.053386694,10,25.90706486
"308",1990-08-04,1.699010796,10,25.81080753
"309",1990-08-05,1.132673864,10,25.7866584
"310",1990-08-06,0.985426262,10,25.76085264
"311",1990-08-07,0.951446046,10,25.73601596
"312",1990-08-08,0.90613909,10,25.71182029
"313",1990-08-09,0.849505398,10,25.6783317
"314",1990-08-10,0.883485614,10,25.57997697
"315",1990-08-11,2.944952046,10,25.4438097
"316",1990-08-12,3.284754204,10,25.32594521
"317",1990-08-13,1.24594125,10,25.24881837
"318",1990-08-14,1.030733216,10,25.18777305
"319",1990-08-15,0.962772784,10,25.11884075
"320",1990-08-16,0.928792568,10,25.0555148
"321",1990-08-17,0.962772784,10,24.93616027
"322",1990-08-18,1.58574341,10,24.42676076
"323",1990-08-19,5.210299772,10,24.05554391
"324",1990-08-20,5.210299772,10,23.87372713
"325",1990-08-21,2.718417272,10,23.76897226
"326",1990-08-22,1.925545568,10,23.64012713
"327",1990-08-23,1.58574341,10,23.50462508
"328",1990-08-24,1.359208636,10,23.33549867
"329",1990-08-25,1.472476022,10,23.14596012
"330",1990-08-26,1.472476022,10,23.02517325
"331",1990-08-27,1.359208636,10,22.89934694
"332",1990-08-28,1.24594125,10,22.76666754
"333",1990-08-29,1.132673864,10,22.63103104
"334",1990-08-30,1.098693648,10,22.49722192
"335",1990-08-31,1.030733216,10,22.36600541
"336",1990-09-01,1.019406478,10,22.23428189
"337",1990-09-02,1.053386694,10,22.10468833
"338",1990-09-03,1.030733216,10,21.96970777
"339",1990-09-04,1.030733216,10,21.83301859
"340",1990-09-05,0.996753,10,21.70136969
"341",1990-09-06,1.042059954,10,21.56154446
"342",1990-09-07,1.08736691,10,21.42661252
"343",1990-09-08,1.064713432,10,21.28817296
"344",1990-09-09,1.064713432,10,21.12966012
"345",1990-09-10,1.132673864,10,20.92052406
